US Air Force Weapons School,USAFWS,,,,,,
US Air Forces in Europe,USAFE,,,,,,
US Central Command,USCENTCOM,CENTCOM,,,,,
US Central Command Air Forces,USAFCENT,AFCENT,,,,,
US Coast Guard,USCG,,,,,,
US European Command,USEUCOM,EUCOM,,,,,
US Force Reserve,USAFR,,,,,,
US Government,USG,,,,,,
US Joint Forces Command,USFJFCOM,,,,,,
US Marine Corps,USMC,,,,,,
US Navy,USN,,,,,,
US Northern Command,USNORTHCOM,NORTHCOM,,,,,
US Pacific Command,USPACOM,PACOM,,,,,
US Southern Command,USSOUTHCOM,SOUTHCOM,,,,,
US Special Operations Command,USSOCOM,,,,,,
US Special Operations Command South,USSOCSO,,,,,,
US Transportation Command,USTRANSCOM,,,,,,
versus,vs,,,,,,
very high frequency,VHF,,,,,,
very important person,VIP,,,,,,
vice commander,CV,,,,,,
vice wing commander,WG/CV,,,,,
video teleconference,VTC,,,,,,
virtual Military Personnel Flight,vMPF,,,,,,
Virtual Private Network,VPN,,,,,,
visibility,vis,,,,,,
volunteer,vol,volunteered,vol'd,,,,
vulnerability,vuln,vulnerabilities,vulns,,,,
with,w/,,,,,,
within,w/in,,,,,,
without,w/out,,,,,,
weapon,wpn,weapons,wpns,,,,
weapons instructor course,WIC,,,,,,
weapons of mass destruction,WMD,,,,,,
weather,wx,,,,,,
week,wk,weeks,weekly,wks,wkly,,
Weighted Airman Promotion System,WAPS,,,,,,
wing,Wg,,,,,,
worldwide,WW,,,,,,
year,yr,years,yrs,,,,
